time (ms) ,v(mv),A(ma), w(mw), o/f, 0_v(mv),  0_A(ma), 0_watt(mw), 0_o/f, 0_in, 1_v(mv), 1_A(ma), 1_watt(mw), 1_o/f,  1_in,  chksum8-2,  chksum8-xor
0000927910,15315,0428,06555,0,04992,0430,02146,1,00,11984,0219,02624,1,00,af,1b
0000927960,15314,0406,06217,0,04994,0424,02117,1,00,11990,0218,02613,1,00,b7,17
0000928010,15321,0403,06174,0,04993,0425,02122,1,00,11992,0218,02614,1,00,c8,16
0000928061,15316,0433,06632,0,04994,0433,02162,1,00,11988,0216,02589,1,00,aa,14
0000928109,15318,0396,06066,0,04994,0425,02122,1,00,11990,0218,02613,1,00,b0,1e
0000928160,15321,0409,06266,0,04994,0430,02147,1,00,11988,0219,02625,1,00,ae,12
0000928210,15313,0425,06508,0,04993,0432,02157,1,00,11991,0220,02638,1,00,bc,1c
0000928260,15318,0410,06280,0,04995,0418,02087,1,00,11988,0218,02613,1,00,ad,19
0000928309,15320,0413,06327,0,04993,0433,02162,1,00,11989,0218,02613,1,00,b5,17
0000928360,15308,0423,06475,0,04992,0434,02166,1,00,11988,0215,02577,1,00,a4,1e
0000928410,15323,0412,06313,0,04992,0424,02116,1,00,11989,0220,02637,1,00,c2,14
0000928459,15311,0409,06262,0,04993,0419,02092,1,00,11986,0219,02625,1,00,a5,11
0000928509,15311,0405,06201,0,04995,0425,02122,1,00,11990,0214,02566,1,00,c1,11
0000928560,15320,0415,06357,0,04991,0426,02126,1,00,11987,0220,02637,1,00,b4,1a
0000928610,15310,0424,06491,0,04994,0424,02117,1,00,11990,0218,02613,1,00,be,1c
0000928660,15321,0400,06128,0,04992,0435,02171,1,00,11989,0216,02589,1,00,ae,18
0000928710,15319,0415,06357,0,04992,0433,02161,1,00,11987,0219,02625,1,00,ac,18
0000928759,15312,0404,06186,0,04993,0427,02132,1,00,11985,0218,02612,1,00,ad,15
0000928810,15323,0403,06175,0,04994,0447,02232,1,00,11990,0218,02613,1,00,b9,19
0000928860,15319,0410,06281,0,04993,0421,02102,1,00,11989,0218,02613,1,00,b8,12
0000928910,15312,0418,06400,0,04994,0437,02182,1,00,11989,0217,02601,1,00,b6,1c
0000928960,15316,0394,06034,0,04994,0430,02147,1,00,11989,0217,02601,1,00,ad,11
0000929010,15316,0420,06433,0,04992,0429,02141,1,00,11990,0218,02613,1,00,c5,19
0000929059,15320,0405,06204,0,04993,0426,02127,1,00,11989,0218,02613,1,00,b4,12
0000929109,15321,0403,06174,0,04993,0430,02147,1,00,11989,0217,02601,1,00,ba,18
0000929161,15309,0426,06521,0,04993,0430,02147,1,00,11988,0217,02601,1,00,b6,1e
0000929210,15327,0401,06146,0,04992,0434,02166,1,00,11988,0217,02601,1,00,bb,11
0000929260,15321,0409,06266,0,04991,0435,02171,1,00,11988,0222,02661,1,00,b3,1d
0000929310,15315,0420,06432,0,04993,0436,02177,1,00,11989,0217,02601,1,00,b8,16
0000929360,15324,0405,06206,0,04993,0421,02102,1,00,11989,0219,02625,1,00,bb,19
0000929409,15318,0414,06342,0,04994,0439,02192,1,00,11989,0220,02637,1,00,a5,11
0000929460,15313,0422,06462,0,04992,0428,02136,1,00,11989,0219,02625,1,00,ac,14
0000929510,15317,0397,06081,0,04995,0425,02122,1,00,11987,0219,02625,1,00,ab,17
0000929560,15316,0420,06432,0,04992,0428,02136,1,00,11990,0216,02589,1,00,af,15
0000929609,15314,0415,06355,0,04992,0431,02151,1,00,11987,0214,02565,1,00,b0,14
0000929660,15320,0412,06312,0,04992,0428,02136,1,00,11986,0217,02601,1,00,be,12
0000929710,15315,0412,06310,0,04994,0432,02157,1,00,11986,0217,02601,1,00,c0,1a
0000929759,15315,0407,06233,0,04993,0434,02167,1,00,11987,0221,02649,1,00,a1,19
0000929809,15321,0402,06159,0,04992,0425,02121,1,00,11992,0220,02638,1,00,b8,1e
0000929860,15306,0429,06566,0,04995,0440,02197,1,00,11988,0214,02565,1,00,99,1b
0000929910,15321,0403,06174,0,04993,0449,02242,1,00,11989,0219,02625,1,00,ac,18
0000929960,15315,0423,06478,0,04994,0436,02177,1,00,11987,0218,02613,1,00,9d,13
0000930010,15312,0402,06155,0,04993,0439,02192,1,00,11987,0221,02649,1,00,bf,1d
0000930061,15319,0393,06020,0,04993,0419,02092,1,00,11987,0219,02625,1,00,b4,1e
0000930110,15318,0417,06387,0,04996,0437,02183,1,00,11987,0217,02601,1,00,b1,1d
0000930160,15310,0424,06491,0,04993,0429,02142,1,00,11985,0218,02612,1,00,c0,1a
0000930210,15316,0398,06096,0,04993,0429,02142,1,00,11987,0218,02613,1,00,b0,18
